bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0002223,scytalidin,22,28,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002224,zopfiellin,21,26,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002233,trichoxide,18,26,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,43474,
BGC0002234,flavoglaucin,19,28,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,50326,
BGC0002235,"12,13-dihydroxymagnaporthepyrone",16,20,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,2425,
BGC0002236,8-methyldiaporthin,14,16,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,95,
BGC0002238,"2,4'-dihydroxy-3'-methoxypropiophenone",10,12,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,19,
BGC0002240,BAB,12,16,3,reachable,,recovered,True,True,245,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.DH: 'dh'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.HYDROLYSIS: 'hydrolysis'>)"
BGC0002241,ywa1,14,12,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002243,biruloquinone,17,10,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002244,pestalotiollide B,21,22,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002249,phaeospelide A,34,50,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002255,lijiquinone,23,26,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002257,rufoschweinitzin,30,30,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002258,shimalactone A,29,40,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002262,sporothriolide,13,18,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,843,
BGC0002263,spiromarmycin,19,24,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,21220,
BGC0002265,atranorin,19,18,8,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002266,calidoustene A,21,28,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002427,subglutinol A,27,38,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002428,FDDP-D,29,42,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002429,higginsianin B,27,40,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002483,usnic acid,18,16,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002507,sporandol,28,26,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002511,biruloquinone,17,10,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002513,6-methylcristazarin,14,14,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,4,
BGC0002515,solanapyrone A,18,22,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,4724,
BGC0002516,prephenalenone,14,12,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002525,fusarubin,15,14,7,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0002537,emeridone F,25,28,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002593,lecanoric acid,16,14,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002594,orcinol,7,8,2,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002595,orsellinic acid,8,8,4,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0002596,lecanoric acid,16,14,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0002603,chevalone E,26,38,4,too_large,ambiguous-budget,inconclusive-budget,True,False,0,
BGC0002604,sartorypyrone A,28,40,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002614,subglutinol A,27,38,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0002616,mycophenolic acid,17,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1256,
BGC0002619,mycophenolic acid,17,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1256,
BGC0002709,aurofusarin,30,18,12,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0002731,nanangenine A,15,22,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,3975,
BGC0002745,verrucosidin,24,32,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
