bgc_id,name,baseline,status_rescan,curve,classes,n_classes
BGC0002203,beauverolide Ba,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002204,flavichalasine F,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002205,phomacin D,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002210,pyranoviolin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002214,methyl (2S)-4-methyl-2-(octanoylamino)pentanoate,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002229,aculin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002230,tolypyridone C,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002231,fusaric acid,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002239,pyrrocidine A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002247,chaetoconvosins B,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002250,triticone A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002253,waikikiamide A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002254,notoamide F,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002259,beauveriolide I,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002261,lucilactaene,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002268,"CJ-16,173",skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002269,MCA17-1,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002270,swainsonine,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002275,pyrophen,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002281,sambutoxin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002304,varicidin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002375,cladosporiumin I,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002502,fumonisin B3,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002505,xenoacremone A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002538,chaetolivacine A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002546,cytoglobosin X,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002555,emerimicin V,skip_element,skip_element,heteroatom,N_incorporation,1
