bgc_id,name,carbons,status,z_star_size,example_program
BGC0001827,xenovulene A,22,too_large,0,
BGC0001857,burnettramic acid A,0,skip_element,0,
BGC0001865,elsinochrome C,30,too_large,0,
BGC0001866,viriditoxin,34,too_large,0,
BGC0001874,α-cyclopiazonic acid,0,skip_element,0,
BGC0001881,pyrichalasin H,0,skip_element,0,
BGC0001886,Secalonic acid B,32,too_large,0,
BGC0001899,abscisic acid,15,unreachable,0,
BGC0001906,"2-acetyl-1,3,6,8-tetrahydroxynaphthalene",12,unreachable,0,
BGC0001909,strobilurin A,16,unreachable,0,
BGC0001913,phomoidride,31,too_large,0,
BGC0001923,ascochlorin,0,skip_element,0,
BGC0001926,chrodrimanin B,25,too_large,0,
BGC0001966,BII-rafflesfungin,0,skip_element,0,
BGC0001982,pyrichalasin H,0,skip_element,0,
BGC0001988,neosartorin,34,too_large,0,
BGC0002030,viriditoxin,34,too_large,0,
BGC0002035,ilicicolin H,0,skip_element,0,
BGC0002062,agnestin A,15,unreachable,0,
BGC0002063,cryptosporioptide B,38,too_large,0,
BGC0002065,strobilurin A,16,unreachable,0,
BGC0002066,harzianopyridone,0,skip_element,0,
BGC0002067,atpenin B,0,skip_element,0,
BGC0002093,ilicicolin H,0,skip_element,0,
BGC0002139,burnettiene A,32,too_large,0,
BGC0002154,"1,3,5,8-tetrahydroxynapthalene",10,unreachable,0,
BGC0002155,nectriapyrone C,11,unreachable,0,
BGC0002158,tenuazonic acid,0,skip_element,0,
BGC0002161,scytalone,10,unreachable,0,
BGC0002165,betaenone C,21,too_large,0,
BGC0002168,decumbenone a,16,unreachable,0,
BGC0002169,acurin A,0,skip_element,0,
BGC0002170,4-methyl-5-dimethyltetradecahexaene-β-ketolactone,22,too_large,0,
BGC0002171,pyrophen,0,skip_element,0,
BGC0002175,YWA1,14,unreachable,0,
BGC0002177,ustilaginoidin N,29,too_large,0,
BGC0002180,(+)-asperlin,10,unreachable,0,
BGC0002185,gregatin A,16,unreachable,0,
BGC0002186,fusaristatin A,0,skip_element,0,
BGC0002187,monorden D,0,skip_element,0,
BGC0002188,W493 B,0,skip_element,0,
BGC0002190,sorbicillin,14,unreachable,0,
BGC0002191,prolipyrone B,10,unreachable,0,
BGC0002192,FR901512,21,too_large,0,
BGC0002194,epipyrone A,34,too_large,0,
BGC0002197,terrestric acid,11,unreachable,0,
BGC0002200,aurovertin E,23,too_large,0,
BGC0002203,beauverolide Ba,0,skip_element,0,
BGC0002204,flavichalasine F,0,skip_element,0,
BGC0002205,phomacin D,0,skip_element,0,
BGC0002206,harziphilone,15,unreachable,0,
BGC0002209,ustethylin A,11,unreachable,0,
BGC0002210,pyranoviolin A,0,skip_element,0,
BGC0002212,Orsellinic acid,8,reachable,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
